id,destination,origin,year,migrants
1060,30,7,1990,1
1061,30,160,1990,0
1062,30,58,1990,1
1063,30,161,1990,1
1064,30,124,1990,0
1065,30,100,1990,2
1066,30,72,1990,1
1067,30,59,1990,7
1068,30,144,1990,19
1069,30,125,1990,6
1070,30,150,1990,1
1071,30,8,1990,1
1072,30,73,1990,12
1073,30,101,1990,15
1074,30,162,1990,31
1075,30,60,1990,1018
1076,30,48,1990,4
1077,30,21,1990,0
1078,30,9,1990,23
1079,30,102,1990,4
1080,30,111,1990,0
1081,30,112,1990,7
1082,30,179,1990,10
1083,30,33,1990,423
1084,30,61,1990,3
1085,30,22,1990,2
1086,30,35,1990,143
1087,30,36,1990,6899
1088,30,126,1990,0
1089,30,62,1990,1
1090,30,23,1990,1
1091,30,164,1990,1
1092,30,63,1990,562
1093,30,127,1990,0
1094,30,165,1990,0
1095,30,37,1990,63
1096,30,64,1990,8
1097,30,128,1990,1
1098,30,115,1990,9
1099,30,65,1990,18
1100,30,10,1990,2
1101,30,145,1990,12
1102,30,113,1990,0
1103,30,49,1990,15
1104,30,74,1990,15
1105,30,25,1990,473
1106,30,169,1990,5
1107,30,166,1990,0
1108,30,93,1990,0
1109,30,146,1990,18
1110,30,26,1990,743
1111,30,170,1990,7
1112,30,94,1990,1
1113,30,130,1990,1
1114,30,38,1990,1671
1115,30,27,1990,1
1116,30,50,1990,59
1117,30,131,1990,7
1118,30,114,1990,2
1119,30,171,1990,24
1120,30,1,1990,346
1121,30,28,1990,28
1122,30,132,1990,3
1123,30,133,1990,4
1124,152,151,1990,2054
1125,152,156,1990,24542
1126,152,160,1990,37576
1127,152,162,1990,2542
1128,152,164,1990,1983
1129,152,166,1990,6131
1130,116,67,1990,642
1131,116,137,1990,36654
1132,116,68,1990,321
1133,116,121,1990,186
1134,116,126,1990,221943
1135,116,130,1990,1833
1136,116,131,1990,11912
1137,153,134,1990,1588
1138,153,103,1990,5
1139,153,67,1990,14
1140,153,105,1990,77
1141,153,172,1990,30
1142,153,81,1990,69
1143,153,68,1990,102
1144,153,139,1990,11
1145,153,155,1990,7
1146,153,69,1990,25
1147,153,156,1990,55
1148,153,157,1990,60
1149,153,57,1990,201
1150,153,177,1990,2
1151,153,71,1990,5
1152,153,160,1990,9
1153,153,100,1990,4
1154,153,125,1990,51
1155,153,73,1990,62
1156,153,162,1990,84
1157,153,112,1990,4
1158,153,61,1990,1132
1159,153,158,1990,539
1160,153,36,1990,55
1161,153,140,1990,2475
1162,153,164,1990,141
1163,153,165,1990,19
1164,153,65,1990,30
1165,153,74,1990,18
1166,153,38,1990,28
1167,153,50,1990,14
1168,135,134,1990,0
1169,135,136,1990,95527
1170,135,137,1990,0
1171,135,137,1990,0
1172,135,151,1990,0
1173,135,138,1990,0
1174,135,68,1990,11808
1175,135,139,1990,0
1176,135,69,1990,0
1177,135,56,1990,0
1178,135,157,1990,0
1179,135,57,1990,0
1180,135,159,1990,0
1181,135,160,1990,0
1182,135,73,1990,0
1183,135,162,1990,105140
1184,135,164,1990,0
1185,135,50,1990,0
1186,80,103,1990,3
1187,80,66,1990,15
1188,80,78,1990,58
1189,80,79,1990,64
1190,80,67,1990,3
1191,80,105,1990,21
1192,80,95,1990,110
1193,80,107,1990,72
1194,80,96,1990,87
1195,80,81,1990,232
1196,80,39,1990,5
1197,80,83,1990,20
1198,80,42,1990,2
1199,80,68,1990,11
1200,80,69,1990,42
1201,80,84,1990,4
1202,80,110,1990,60
1203,80,85,1990,5
1204,80,99,1990,747
1205,80,5,1990,44
1206,80,6,1990,2
1207,80,44,1990,79
1208,80,17,1990,3
1209,80,57,1990,28
1210,80,86,1990,3767
1211,80,177,1990,6
1212,80,121,1990,10
1213,80,100,1990,12
